全ての親, motherbone
グルーブ, groove
センター, center
腰, waist
左, left
右, right
翼, wings
左翼, wing_L
右翼, wing_R
尾, tail
尾1, tail_1
尾2, tail_2
尾3, tail_3
尾4, tail_4
尾5, tail_5
尾6, tail_6
尾7, tail_7
尾8, tail_8
尾9, tail_9
尾10, tail_10
尾11, tail_11
尾12, tail_12
尾13, tail_13
尾14, tail_14
尾15, tail_15
右肩C, shoulder_hidden_R
左肩C, shoulder_hidden_L
左肩P, raise shoulder_L
右肩P, raise shoulder_R
上半身, upper body
上半身１, upper body1
上半身２, upper body2
上半身３, upper body3
上半身1, upper body1
上半身2, upper body2
上半身3, upper body3
首, neck
頭, head
左耳, ear_L
右耳, ear_R
左目, eye_L
右目, eye_R
前髪３, front hair3
前髪２, front hair2
前髪１, front hair1
後髪, back hair
下半身, lower body
左肩, shoulder_L
左腕, arm_L
左ひじ, elbow_L
左手首, wrist_L
左親指０, thumb0_L
左親指１, thumb1_L
左親指２, thumb2_L
左人指１, fore1_L
左人指２, fore2_L
左人指３, fore3_L
左中指１, middle1_L
左中指２, middle2_L
左中指３, middle3_L
左薬指０, third0_L
左薬指0, third0_L
左薬指１, third1_L
左薬指２, third2_L
左薬指３, third3_L
左小指０, little0_R
左小指0, little0_R
左小指１, little1_L
左小指２, little2_L
左小指３, little3_L
右肩, shoulder_R
右腕, arm_R
右ひじ, elbow_R
右手首, wrist_R
右親指０, thumb0_R
右親指１, thumb1_R
右親指２, thumb2_R
右人指１, fore1_R
右人指２, fore2_R
右人指３, fore3_R
右中指１, middle1_R
右中指２, middle2_R
右中指３, middle3_R
右薬指０, third0_R
右薬指0, third0_R
右薬指１, third1_R
右薬指２, third2_R
右薬指３, third3_R
右小指０, little0_R
右小指0, little0_R
右小指１, little1_R
右小指２, little2_R
右小指３, little3_R
左ﾏﾌﾗｰ１, muffler1_L
左ﾏﾌﾗｰ２, muffler2_L
左ﾏﾌﾗｰ３, muffler3_L
左ﾏﾌﾗｰ４, muffler4_L
右ﾏﾌﾗｰ１, muffler1_R
右ﾏﾌﾗｰ２, muffler2_R
右ﾏﾌﾗｰ３, muffler3_R
右ﾏﾌﾗｰ４, muffler4_R
左裾１, hem1_L
左裾２, hem2_L
右裾１, hem1_R
右裾２, hem2_R
左足, leg_L
左ひざ, knee_L
左足首, ankle_L
右足, leg_R
右ひざ, knee_R
右足首, ankle_R
両目, eyes
左ﾏﾌﾗｰ５, muffler5_L
右ﾏﾌﾗｰ５, muffler5_R
左つま先, toe_L
右つま先, toe_R
左ﾏﾌﾗｰＩＫ, muffler IK_L
右ﾏﾌﾗｰＩＫ, muffler IK_R
左足ＩＫ, leg IK_L
右足ＩＫ, leg IK_R
左つま先ＩＫ, toe IK_L
右つま先ＩＫ, toe IK_R
ＩＫ, IK
体(上), Body[u]
髪, Hair
腕, Arms
指, Fingers
体(下), Body[l]
足, Legs
ﾎﾞｰﾝ01, bone01
ﾎﾞｰﾝ02, bone02
ﾎﾞｰﾝ03, bone03
ﾎﾞｰﾝ04, bone04
ﾎﾞｰﾝ05, bone05
ﾎﾞｰﾝ06, bone06
ﾎﾞｰﾝ07, bone07
ﾎﾞｰﾝ08, bone08
ﾎﾞｰﾝ09, bone09
ﾎﾞｰﾝ10, bone10
ﾎﾞｰﾝ11, bone11
ﾎﾞｰﾝ12, bone12
ﾎﾞｰﾝ13, bone13
ﾎﾞｰﾝ14, bone14
ﾎﾞｰﾝ15, bone15
胸リボン, chest ribbon
左リボン, ribbon_L
右リボン, ribbon_R
腰飾り, waist accessory
左髪, hair_L
右髪, hair_R
前髪, front hair
左セーラ, blouse_L
右セーラ, blouse_R
左袖, sleeve_L
右袖, sleeve_R
ﾈｸﾀｲ１, necktie1
ﾈｸﾀｲ２, necktie2
ﾈｸﾀｲ３, necktie3
左セーラー, blouse_L
右セーラー, blouse_R
ﾈｸﾀｲ先, necktie4
ﾈｸﾀｲＩＫ, necktie IK
左ｽｶｰﾄ前, front skirt_L
左ｽｶｰﾄ後, back skirt_L
右ｽｶｰﾄ前, front skirt_R
右ｽｶｰﾄ後, back skirt_R
アホ毛１, aho hear1
アホ毛２, aho hair2
ポニテ, back hair
ポニテ１, back hair1
ポニテ２, back hair2
ポニテ３, back hair3
ポニテ４, back hair4
ポニテ５, back hair5
ポニテ先, back hair end
左胸, bust_L
右胸, bust_R
ポニテ６, back hair6
ポニテＩＫ, hair IK
左髪１, hair1_L
左髪２, hair2_L
左髪３, hair3_L
左髪４, hair4_L
左髪５, hair5_L
左髪６, hair6_L
左腕捩, arm twist_L
左手捩, wrist twist_L
右髪１, hair1_R
右髪２, hair2_R
右髪３, hair3_R
右髪４, hair4_R
右髪５, hair5_R
右髪６, hair6_R
右腕捩, arm twist_R
右手捩, wrist twist_R
左目光, eyelight_L
右目光, eyelight_R
ﾈｸﾀｲ４, necktie4
左髪７, hair7_L
右髪７, hair7_R
左髪ＩＫ, hair IK_L
右髪ＩＫ, hair IK_R
下瞼↑, lower eyelid up
下瞼↓, lower eyelid down
上瞼↑, top eyelid up
上瞼↓, top eyelid down
真面目, serious
真面目2, serious2
困る, sadness
困る2, sadness2
にこり, cheerful
にこり2, cheerful2
怒り, anger
怒り2, anger2
上, go up
下, go down
まばたき, blink
まばたき2, blink2
笑い, smile
笑い2, smile2
ウィンク, wink
ウィンク２, wink2
ウィンク右, wink_R
ｳｨﾝｸ２右, wink2_R
ウィンクＬ, wink_L
はぅ, close><
なごみ, calm
びっくり, surprise
じと目, doubt
瞳小, pupil
光無し, highlight off
あ, a
い, i
う, u
お, o
▲, triangle
∞, infinity
歯上下, teeth
歯収納, no teeth
歯収納2, teeth back
にやり, grin
なぬ！, confuse
∧, regret
∧R, regret_R
∧L, regret_L
ω, omega
ω□, omegabox
はんっ！, fool
え, e
べー, tongue
ぺろっ, tongue
べー, tongue
べー2, tongue2
べー3, tongue3
べー２, tongue2
べー３, tongue3
舌左右, tongue_L
舌前後, tongue up
えー, e-
ハネ毛, hane hair
携帯, phone
への字, regret
アヒル口, duck lips
口を上, lips up
ふくれっつら, pout cheeks
くっ　右, disgust_R
くっ　左, disgust_L
ニヤリ右, evil smirk_R
ニヤリ左, evil smirk_L
ニヤリ, wide smile
ニヤリR, wide smile_R
ニヤリL, wide smile_L
うええっ, ew
やあ, yay
うわぁ, shout
うわぁ2, scream
ええーっ, oooh
笑う, laugh
大口笑い, wide laugh
にこっ, soft smile
にこっR, soft smile_R
にこっL, soft smile_L
フフン, S
？右, ?_R
？左, ?_L
悲しい, sad low
右胸上, breast_R
右胸上２, breast2_R
右胸上2, breast2_R
左胸上, breast_L
左胸上２, breast2_L
左胸上2, breast2_L
左足D, left thigh_D
左ひざD, left knee_D
左足首D, left foot_D
左足先EX, left toes_EX
右足D, right thigh_D
右ひざD, right knee_D
右足首D, right foot_D
右足先EX, right toes_EX
右腕捩軸, right arm rig0
右腕捩1, right arm rig1
右腕捩2, right arm rig2
右腕捩3, right arm rig3
右手捩軸, right elbow rig0
右手捩1, right elbow rig1
右手捩2, right elbow rig2
右手捩3, right elbow rig3
右ひじ補助, elbow_hidden_R
+右ひじ補助2, elbow_hidden2_R
その他, other
表情, Expression
体, Body
服, Clothes
ムッ, upset
えへへ, ahh
いーっ, oh
ん, hmm
笑い目, happy eyes
真っ青, shadow
ほほ, blush
照れ, little blush
照れ２, big blush
デレ, blushy
胸, chest
胸・他, Chest Other
腰布, waist cloth
腰布1, waist cloth1
腰布2, waist cloth2
腰布3, waist cloth3
腰布4, waist cloth4
腰布5, waist cloth5
右上半身, right upperbody
左上半身, left upperbody
ゴーグル, goggles
黒, black
青, blue
星目, star eye
ハート, heart
えーっ, what
目, Eye
つまさき, toes up
左つまさき, toes up_L
右つまさき, toes up_R
尾先, tail end
